key,fileid,age,mlu,utterance,participants,child_sex,context,zero_reference,zero_type,physical_object,input_output,used_correctly
10,Providence/Alex/ale09.xml,21,[1.6873239436619718], zero ,"CHI, MOT, OPE (camera operator), FAT, TOY",male,MOT and CHI playing with toys with numbers on them,MOT points out toy with 0 on it,symbolic_digit,yes,input,yes
11,Providence/Alex/ale10.xml,21,[1.9292035398230087], what s zero ,"CHI, MOT",male,MOT and CHI are playing with puzzle piece toy,"MOT points out symbolic 0, asks what it is",symbolic_digit,yes,input,yes
12,Providence/Ethan/eth25.xml,22,[3.8], and sleep in zero gravity when you re in a space ship you float in the air ,"CHI, MOT",male,MOT and CHI are looking at a book,MOT is telling CHI about space,nonexistence_negation,no,input,yes
13,Providence/Alex/ale14.xml,23,[1.4817518248175183], thaza that is a zero ,"CHI, MOT, GRA",male,MOT and CHI are playing with puzzle piece toy,"MOT points out symbolic 0, asks what it is",symbolic_digit,yes,input,yes
14,Providence/Alex/ale14.xml,23,[1.4817518248175183], o oh zero ,"CHI, MOT, GRA",male,MOT and CHI are playing with puzzle piece toy,"MOT points out symbolic 0, asks what it is, CHI says 'o' and MOT says ""oh, zero"" to confirm that the child was right - child can identify symbolic zero by 23 months",symbolic_digit,yes,input,yes
15,Providence/Alex/ale14.xml,23,[1.4817518248175183], where s your zero ,"CHI, MOT, GRA",male,MOT and CHI are playing with puzzle piece toy,"MOT and CHI putting away puzzle pieces, MOT asks where 0 is, then finds it, and asks child what it is - CHI says 'o'",symbolic_digit,yes,input,yes
16,Providence/Alex/ale14.xml,23,[1.4817518248175183], zero ,"CHI, MOT, GRA",male,MOT and CHI are playing with puzzle piece toy,"MOT and CHI putting away puzzle pieces, MOT asks where 0 is, then finds it, and asks child what it is - CHI says 'o', MOT says 'zero' to confirm",symbolic_digit,yes,input,yes
17,Post/Lew/lew02.xml,24,[1.6917808219178083], three five zero ,"MOT, CHI, SIB, INV",female,MOT and CHI are playing with a toy phone,MOT tells CHI what the number to call is,symbolic_verbal,no,input,yes
18,Post/Lew/lew02.xml,24,[1.6917808219178083], mash the five now the zero ,"MOT, CHI, SIB, INV",female,MOT and CHI are playing with a toy phone,MOT tells CHI what the number to call is,symbolic_digit,yes,input,yes
19,Post/Lew/lew02.xml,24,[1.6917808219178083], you can mash all at once three five zero ,"MOT, CHI, SIB, INV",female,MOT and CHI are playing with a toy phone,MOT tells CHI what the number to call is,symbolic_digit,yes,input,yes
20,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero very good honey ,"CHI, MOT",female,MOT and CHI are reading for a book,"MOT is pausing and letting CHI say the last word on a page, CHI actually says 'zero' (sort of), and MOT confirms by repeating it",symbolic_digit,yes,input,yes
21,Providence/Naima/nai39.xml,24,[4.101045296167247], you don t really have to borrow that i think that s a zero in front of mommy ,"CHI, MOT, FAT",female,CHI and MOT are playing with letters and numbers,"CHI wants to spell 'zoo', needs 'o's, asks for the one in front of MOT, MOT points out that it's a 0",symbolic_digit,yes,input,yes
22,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero ,"CHI, MOT",female,MOT and CHI are reading for a book,"MOT is pausing and letting CHI say the last word on a page, CHI actually says 'zero' (sort of), and MOT confirms by repeating it",symbolic_verbal,no,output,yes
23,Brown/Eve/eve15.xml,25,[4.913127413127413], the zero ,"CHI, MOT, FAT, COL, RIC",female,CHI and MOT are looking at a footage meter,"CHI asks what a number is on the meter, mother answers",symbolic_digit,yes,input,yes
24,Braunwald/0diary/020109.xml,25,[4.5], six six one zero six ,"CHI, MOT",female,"unclear - CHI talking to self, possibly pretending to use a phone","CHI says ""my number"" and then recites phrase",symbolic_verbal,no,output,yes
25,Providence/Alex/ale19.xml,26,[1.7857142857142858], zero ,"CHI, MOT, GRA, FAT",male,MOT and CHI are playing with puzzle piece toy,"MOT is asking CHI what numbers are in puzzle, MOT labels 0",symbolic_digit,yes,input,yes
26,Providence/Lily/lil36.xml,27,[4.625], okay it s two zero two ,"CHI, MOT",female,MOT is on the phone,MOT gives cell phone number to someone - unclear if CHI is there or not,NA,NA,NA,NA
27,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine ,"CHI, MOT, FAT, BRO",female,NA,MOT asks what time it is - does not actually say 'zero',NA,NA,NA,NA
28,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine ,"CHI, MOT, FAT, BRO",female,NA,MOT asks what time it is - does not actually say 'zero',NA,NA,NA,NA
29,Providence/Lily/lil37.xml,28,[5.458471760797342], zero ,"CHI, MOT",female,MOT and CHI are reading for a book,"MOT is pausing and letting CHI say the last word on a page, CHI actually says 'zero' (sort of), and MOT confirms by repeating it",symbolic_verbal,no,input,yes
30,Providence/Lily/lil37.xml,28,[5.458471760797342], zero ,"CHI, MOT",female,MOT and CHI are reading for a book,"MOT is pausing and letting CHI say the last word on a page, CHI actually says 'zero' (sort of), and MOT confirms by repeating it",symbolic_verbal,no,output,yes
31,Clark/shem10.xml,29,[4.9109947643979055], there it goes to zero ,"CHI, MOT, INV",male,CHI and investigator are playing with a tape recorder,Investigator points out that the numbers on the recorder go to zero,symbolic_digit,yes,input,yes
32,Clark/shem11.xml,29,[6.4068627450980395], yeah this stopped all the little numbers stopped at zero ,"CHI, MOT, INV",male,CHI and investigator are playing with the UV meter,Investigator points out that the numbers on the meter go to zero,symbolic_digit,yes,input,yes
33,Valian/18a.xml,29,[4.727748691099476], yeah it goes one to ten and no zero to nine zero to nine ,"CHI, INV, MOT",female,Free play,"INV has dice, and is explaining what numbers are on them and how they work",symbolic_digit,yes,input,yes
34,Clark/shem14.xml,30,[6.509025270758123], yeah it goes back to zero ,"CHI, MOT, INV, FAT",male,CHI and investigator are playing with tape recorder,Investigator points out that the numbers on the meter go to zero,symbolic_digit,yes,input,yes
35,Clark/shem14.xml,30,[6.509025270758123], oh there it goes it going on to zero now see ,"CHI, MOT, INV, FAT",male,CHI and investigator are playing with tape recorder,Investigator points out that the numbers on the meter go to zero,symbolic_digit,yes,input,yes
36,Gleason/Mother/martin.xml,30,[2.930817610062893], that s number one zero ,"CHI, MOT, INV",male,Lab visit with MOT,"CHI and MOT playing with toy cash register, MOT points out what a number is",symbolic_digit,yes,input,yes
37,Providence/William/wil26.xml,30,[2.639784946236559], ten is a one and a zero ,"CHI, MOT",male,CHI is reading a book,MOT points out symbolic numbers,symbolic_digit,yes,input,yes
38,Clark/shem16.xml,31,[6.876923076923077], you re turning it to zero ,"CHI, MOT, FAT, MRX",male,CHI is playing with the counter on the tape recorder,Adult (MRX) asks if the child is turning the counter to zero,symbolic_digit,yes,input,yes
39,Providence/Lily/lil49b.xml,31,[5.682568807339449], it s zero ,"CHI, MOT",female,MOT and CHI playing with clock,"MOT asks what time it is, CHI says 'zero', MOT says 'it's zero'. ",symbolic_digit,yes,input,NA
40,Providence/Violet/vio36.xml,31,[4.374647887323944], and sleep in zero gravity ,"CHI, MOT, FAT, BRO",female,MOT is reading a book about space to CHI,MOT talking about space,nonexistence_negation,no,input,yes
41,Clark/shem16.xml,31,[6.876923076923077], i turn it to zero ,"CHI, MOT, FAT, MRX",male,CHI is playing with the counter on the tape recorder,CHI states that he is going to turn the counter to zero,symbolic_digit,yes,output,yes
42,Clark/shem16.xml,31,[6.876923076923077], turn it to zero wha dis this ,"CHI, MOT, FAT, MRX",male,CHI is playing with the counter on the tape recorder,CHI states that he is going to turn the counter to zero,symbolic_digit,yes,output,yes
43,Providence/Lily/lil49b.xml,31,[5.682568807339449], zero ,"CHI, MOT",female,MOT and CHI playing with clock,"MOT asks what time it is, CHI says 'zero', MOT says 'it's zero'. ",symbolic_digit,yes,output,NA
44,Providence/Ethan/eth44.xml,32,[3.0706401766004414], there s the number eight there s the number two number two again there s a zero and there s the three ,"CHI, MOT",male,MOT and CHI are looking at writing,MOT points out numbers in a date,symbolic_digit,yes,input,yes
45,Clark/shem19.xml,32,[8.252225519287833], zero zero zero zero zero zero zero ,"CHI, INV",male,CHI is playing with a phone,"INV asks child what the phone number is, and child answers",symbolic_verbal,no,output,yes
46,Providence/Lily/lil57.xml,33,[3.7886904761904763], but it can be hundreds of degrees below zero during the long nights ,"CHI, MOT",female,MOT is reading CHI a book about the planets,MOT is talking about temperature on planet,symbolic_verbal,no,input,yes
47,Providence/Alex/ale35.xml,33,[2.6504065040650406], zero nine zero seven ,"CHI, MOT, GRA",male,GRA in background,background noise,NA,NA,NA,NA
48,Providence/Alex/ale37.xml,34,[2.669826224328594], what s that supposed to be oh a zero ,"CHI, MOT, GRA",male,"MOT and CHI are playing with blocks, maybe alphabet blocks?",MOT identifies symbolic 0,symbolic_digit,yes,input,yes
49,Providence/Alex/ale37.xml,34,[2.669826224328594], zero ,"CHI, MOT, GRA",male,"MOT and CHI are playing with blocks, maybe alphabet blocks?","CHI is reading the letters off blocks, and is labeling pictures off blocks. CHI says 'o' for the 'z' block, MOT corrects him by saying 'zero'",symbolic_digit,yes,input,yes
50,Providence/Ethan/eth47.xml,34,[3.943469785575049], so he is floating up woo this is fun zero gravity is fun     ,"CHI, MOT",male,MOT and CHI playing with spaceship toys,MOT is talking about astronaut,nonexistence_negation,no,input,yes
51,Providence/Ethan/eth47.xml,34,[3.943469785575049], the spaceship could float away too i guess in zero gravity ,"CHI, MOT",male,MOT and CHI playing with spaceship toys,MOT is talking about spaceship,nonexistence_negation,no,input,yes
52,Providence/Alex/ale37.xml,34,[2.669826224328594], zero ,"CHI, MOT, GRA",male,"MOT and CHI are playing with blocks, maybe alphabet blocks?","CHI is reading the letters off blocks, and is labeling pictures off blocks. CHI says 'o' for the 'z' block, MOT corrects him by saying 'zero', CHI repeats MOT",symbolic_digit,yes,output,yes
53,Brown/Sarah/sarah035.xml,35,[2.615], zero o ,"CHI, MOT, FAT, GLO",female,"CHI is on MOT's lap, pretending to swim","Unclear - mother possibly indicating that child has no more ""swimming kicks"" left",NA,NA,input,NA
54,Providence/Violet/vio43.xml,35,[4.235772357723577], see a one and a zero makes ten ,"CHI, MOT, BRO, FAT",female,MOT is reading number book to CHI,MOT points out that 1 and 0 are 10,symbolic_digit,yes,input,yes
55,Brown/Adam/adam17.xml,35,[3.941265060240964], zero ,"CHI, MOT, URS, RIC",male,MOT asks if CHI's pencils have numbers,CHI says there is a zero on pencil,symbolic_digit,yes,output,yes
56,Brown/Adam/adam17.xml,35,[3.941265060240964], zero ,"CHI, MOT, URS, RIC",male,MOT asks if CHI's pencils have numbers,CHI says there is a zero on pencil,symbolic_digit,yes,output,yes
57,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero beat you ,"CHI, MOT, URS, RIC",male,CHI free-associating,Unclear - free-association,noun,NA,output,NA
58,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero ,"CHI, MOT, URS, RIC",male,"CHI asked ""what is this?"" but referent unclear",Possibly the pencil,NA,NA,output,NA
59,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that no zero dat that blue ,"CHI, MOT, URS, RIC",male,"CHI asked ""what is this?"" but referent unclear",Possibly the pencil,NA,NA,output,NA
60,Brown/Adam/adam19.xml,36,[4.303398058252427], five four three two one zero blast ,"CHI, MOT, CEC, URS, DIA",male,CHI playing with space shuttle toy,MOT counts down blastoff,count_number,no,input,yes
61,Brown/Adam/adam19.xml,36,[4.303398058252427], that s five four three two one zero ,"CHI, MOT, CEC, URS, DIA",male,CHI playing with space shuttle toy,MOT counts down blastoff,count_number,no,input,yes
62,Gleason/Father/charlie.xml,36,[4.266666666666667], zero if it s a number right ,"CHI, FAT, INV",male,Lab visit with FAT,"Counting quarters - FAT asks CHI how many quarters there are, and CHI at first says 'o', and FAT says 'zero, exactly, if that's a number.'",nonexistence_negation,no,input,yes
,Gleason/Father/charlie.xml,36,[4.266666666666667],o (zero),"CHI, FAT, INV",male,Lab visit with FAT,"Counting quarters - FAT asks CHI how many quarters there are, and CHI at first says 'o', and FAT says 'zero, exactly, if that's a number.'",nonexistence_negation,no,output,yes
,Gleason/Father/charlie.xml,36,[4.266666666666667],o (zero),"CHI, FAT, INV",male,Lab visit with FAT,FAT and CHI are playing with a toy which seems to have numbers. FAT points out a 'hard number' (50) is five and zero. This comes after the child identifies the numbers independently as 'five' and 'o' (which child seems to use for 'zero'),symbolic_digit,yes,output,yes
63,Gleason/Father/charlie.xml,36,[4.266666666666667], oh that s a zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy, talking about taking turns; unclear what the father is referencing here",NA,NA,input,NA
64,Gleason/Father/charlie.xml,36,[4.266666666666667], five and zero ,"CHI, FAT, INV",male,Lab visit with FAT,FAT and CHI are playing with a toy which seems to have numbers. FAT points out a 'hard number' (50) is five and zero. This comes after the child identifies the numbers independently as 'five' and 'o' (which child seems to use for 'zero'),symbolic_digit,yes,input,yes
65,Gleason/Father/charlie.xml,36,[4.266666666666667], when you see five and zero together it s a fifty ,"CHI, FAT, INV",male,Lab visit with FAT,FAT and CHI are playing with a toy which seems to have numbers. FAT points out a 'hard number' (50) is five and zero. This comes after the child identifies the numbers independently as 'five' and 'o' (which child seems to use for 'zero'),symbolic_digit,yes,input,yes
,Gleason/Father/charlie.xml,36,[4.266666666666667], o (zero) ,"CHI, FAT, INV",male,Lab visit with FAT,"FAT asks CHI what a number is, child responds, FAT repeats response",symbolic_digit,yes,output,yes
66,Gleason/Father/charlie.xml,36,[4.266666666666667], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"FAT asks CHI what a number is, child responds, FAT repeats response",symbolic_digit,yes,input,yes
67,Brown/Adam/adam19.xml,36,[4.303398058252427], zero ,"CHI, MOT, CEC, URS, DIA",male,CHI playing with space shuttle toy,CHI repeats 'zero' in countdown,count_number,no,output,yes
68,Brown/Adam/adam19.xml,36,[4.303398058252427], one two three zero ,"CHI, MOT, CEC, URS, DIA",male,CHI playing with toy dolls,Unclear - possibly CHI is counting the dolls,count_number,no,output,NA
69,Gleason/Father/charlie.xml,36,[4.266666666666667], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"FAT asks CHI what a number is, child responds",symbolic_digit,yes,output,yes
70,Providence/Naima/nai77.xml,36,[6.898591549295775], zero nursing ,"CHI, MOT, FAT",female,CHI is tired,CHI is trying to indicate that she didn't need a lot of nursing,nonexistence_negation,no,output,sort of
71,Providence/Naima/nai77.xml,36,[6.898591549295775], well not zero nursing but you didn t wake up to nurse until four thirty ,"CHI, MOT, FAT",female,CHI is tired,MOT corrects CHI - CHI didn't wake up to nurse until quite late,nonexistence_negation,no,input,yes
72,Clark/shem38.xml,37,[8.495145631067961], now we re gonna do a c for cindy and z for zero ,"CHI, FAT, INV",male,CHI and INV seem to be playing with a toy that has letters,INV says that the child needs to press 'z' for 'zero',symbolic_verbal,yes,input,yes
73,Gleason/Father/guy.xml,37,[3.1677018633540373], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with cash register, FAT asks CHI what a button does, CHI responds 'zero', FAT repeats response",symbolic_digit,yes,input,yes
74,Gleason/Father/guy.xml,37,[3.1677018633540373], zero means that we would get it for nothing ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT playing with cash register, FAT tells CHI that 'zero' means there wouldn't be any charge",nonexistence,,input,yes
75,Gleason/Father/guy.xml,37,[3.1677018633540373], do you know what five zero says ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, INV asks child what the 50 button says",symbolic,,input,yes
76,Gleason/Father/guy.xml,37,[3.1677018633540373], and what s five zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, INV asks child what the 50 button says",,,input,yes
77,Providence/Naima/nai79.xml,37,[4.844444444444444], zero     on the cape ,"CHI, MOT, GRA, FAT",female,CHI is eating,"GRA is telling a story, but says there are 'no bears on the cape' - MOT confirms by saying 'zero bears on the cape'",nonexistence,,input,yes
78,Gleason/Father/guy.xml,37,[3.1677018633540373], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with cash register, FAT asks CHI what a button does, CHI responds 'zero'",,,output,
79,Gleason/Father/guy.xml,37,[3.1677018633540373], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, FAT asks child what a button does, child responds 'zero'",,,output,
80,Gleason/Father/guy.xml,37,[3.1677018633540373], zero zero zero ,"CHI, FAT, INV",male,Lab visit with FAT,CHI and FAT are playing with a toy cash register unclear what child is referring to here,,,output,
81,Gleason/Father/guy.xml,37,[3.1677018633540373], five zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, INV asks child what the 50 button says, child responds",symbolic,,output,yes
82,Gleason/Father/guy.xml,37,[3.1677018633540373], zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, INV points to 50 and asks what number s/he said it was, child responds 'five' and then later 'zero'",symbolic,,output,yes
83,Gleason/Mother/guy.xml,37,[3.751152073732719], zero ,"CHI, MOT, INV",male,Lab visit with MOT,"Seems like CHI and MOT are playing with the cash register, but unclear",,,output,
84,Brown/Sarah/sarah055.xml,40,[3.294478527607362], um looks like an zero to me ,"CHI, MOT, KEN, GRA, NAN",female,CHI is playing with plastic ABCs,"CHI asks what a number is, investigator responds that it looks like a 0",symbolic,,input,yes
85,Brown/Sarah/sarah055.xml,40,[3.294478527607362], oh you give me the zero now ,"CHI, MOT, KEN, GRA, NAN",female,CHI is playing with plastic ABCs,Grandmother asks the child for the plastic zero,symbolic,,input,yes
86,Providence/Alex/ale49.xml,40,[3.1227436823104693], two zero zero three ,"CHI, MOT",male,MOT and CHI are looking at drawings CHI has made,MOT puts year on drawing,symbolic,,input,yes
87,Weist/Matt/mat23.xml,40,[3.938775510204082], five cents five o zero ,"CHI, MOT, RYA (investigator)",male,Free play,"MOT asks CHI what time it is - child answers 'five cents', and she corrects him. Note that she does not actually say 'zero', but says 'o'",,,input,yes
88,Weist/Matt/mat23.xml,40,[3.938775510204082], five o zero nine ,"CHI, MOT, RYA (investigator)",male,Free play,"MOT asks CHI what time it is - child answers 'five cents', and she corrects him. Note that she does not actually say 'zero', but says 'o'",,,input,yes
89,Kuczaj/abe101.xml,41,[7.850467289719626], zero ,"CHI, FAT",male,FAT and CHI are playing with a ball,"Unclear - the CHI asks if they can do it some more, then says 'zero okay?' ",,,output,
90,Gleason/Mother/isadora.xml,42,[4.064655172413793], that s a zero ,"CHI, MOT, INV",female,Lab visit with MOT,"CHI and MOT playing with toy cash register, MOT asks what a button is",symbolic,,input,yes
91,HSLLD/HV1/MT/jesmt1.xml,43,[5.338028169014085], and zero was standing at zero feet     ,"CHI, MOT, BRO, FAT",female,at home,"BRO and MOT are talking about height, it seems - BRO starts off by saying he is 4 feet. I think he is matching his age to his height here, because he says ""two at two feet"" and ""one at one feet"" but it's not clear. It seems like he understands what 'zero' means, though",nonexistence,,input,yes
92,HSLLD/HV1/TP/shotp1.xml,43,[3.4953271028037385], zero ,"CHI, MOT, INV1, INV2",female,at home,"MOT and CHI are playing with toys, CHI is playing with a toy telephone, MOT telling her a phone number",symbolic,,input,yes
93,Weist/Roman/rom25.xml,43,[12.074324324324325], five o zero five     years ,"CHI, FAT",male,Free play,"CHI is ringing up toy groceries for FAT, seems like he is reading the price off an item",symbolic,,output,yes
94,Kuczaj/abe121.xml,44,[7.992424242424242], no if you grate it up i will two zero ,"CHI, FAT, MOT",male,meal time,"I'm not sure, but I think CHI is playing with some darts and reading the numbers",symbolic,,output,no
95,Kuczaj/abe121.xml,44,[7.992424242424242], is that two zero ,"CHI, FAT, MOT",male,meal time,"Unclear - playing with darts, CHI reading numbers?",symbolic,,output,no
96,Kuczaj/abe121.xml,44,[7.992424242424242], i think it s two zero ,"CHI, FAT, MOT",male,meal time,"Unclear - playing with darts, CHI reading numbers?",symbolic,,output,no
97,Kuczaj/abe121.xml,44,[7.992424242424242], it is two zero ,"CHI, FAT, MOT",male,meal time,"Unclear - playing with darts, CHI reading numbers? Worth noting that MOT says the number is actually two-five",symbolic,,output,no
98,VanKleeck/rachel1.xml,44,[5.661764705882353], four five zero nine eight ,"CHI, ADU",female,Free play,ADU asks CHI what grandmother's phone number is,symbolic,,output,yes
99,Snow/800518.xml,45,[3.634831460674157], zero ,"CHI, MOT",male,Book reading with MOT and CHI,"I think the book is an alphabet book - the mother mentions 'zebras' right before this, so it's likely that she's referring to a digit on the page ",symbolic,,input,yes
100,HSLLD/HV1/MT/kevmt1.xml,46,[3.978723404255319], was that the kid gets off mom wants the the zero and the the thing goes like that ,"CHI, MOT, BRO",male,at home,"Eating dinner, I have no idea what BRO is trying to convey",,,input,
101,Gleason/Mother/theresa.xml,48,[5.557620817843866], that s a zero ,"CHI, MOT, Inv",female,Lab visit with MOT,"CHI and MOT playing with a toy cash register, child asks MOT what a number is, MOT responds",symbolic,,input,yes
102,Gleason/Mother/theresa.xml,48,[5.557620817843866], that s zero ,"CHI, MOT, Inv",female,Lab visit with MOT,CHI and MOT playing with a toy cash register - this is possibly referencing the price of an item,,,input,yes
103,Gleason/Mother/theresa.xml,48,[5.557620817843866], for zero i ll take it ,"CHI, MOT, Inv",female,Lab visit with MOT,CHI and MOT playing with a toy cash register - this is possibly referencing the price of an item,,,input,yes
104,Gleason/Mother/theresa.xml,48,[5.557620817843866], zero ,"CHI, MOT, INV",female,Lab visit with MOT,"CHI and MOT playing with a toy cash register, child asks MOT what a number is, MOT responds, CHI repeats answer",symbolic,,output,yes
105,Braunwald/4-03-07.xml,51,[4.6722689075630255], seven years and zero days ,"CHI, FAT, MOT, SIS",female,dinnertime with family,"MOT talking to SIS about age; SIS says tomorrow she will be 6 years, 365 days; Mother corrects her, and says that she will be 7 years and 0 days",,,input,yes
106,Gleason/Mother/eddie.xml,51,[4.32], a zero ,"CHI, MOT, INV",male,Lab visit with MOT,"CHI and MOT playing with cash register, MOT asks CHI what amount a button is, prompts child by saying there's a 1 with a 0 behind it",symbolic,,input,yes
107,Bliss/nortrevo.xml,51,[5.837037037037037], eight seven nine seven six five zero ,"CHI, HEI (Heidi child), TRA (Tracy child), JAC",male,children are talking about a telephone,CHI recites phone number,symbolic,,output,yes
108,Brown/Adam/adam44.xml,51,[5.919860627177701], zero ,"CHI, MOT, URS, FAT, PAU, RIC",male,CHI is looking at pictures with MOT and investigator,"CHI might be identifying numbers in the picture - he says ""number two"" and ""number three"" and ""number eight"" prior to saying ""zero"" - interesting that he doesn't say ""number zero"" if that's indeed what he's doing",symbolic,,output,
109,Brown/Adam/adam44.xml,51,[5.919860627177701], zero two ,"CHI, MOT, URS, FAT, PAU, RIC",male,CHI is looking at pictures with MOT and investigator,"CHI might be identifying numbers in the picture - he says ""number two"" and ""number three"" and ""number eight"" prior to saying ""zero"" - interesting that he doesn't say ""number zero"" if that's indeed what he's doing",symbolic,,output,
110,Gleason/Mother/eddie.xml,51,[4.32], um one and zero ,"CHI, MOT, INV",male,Lab visit with MOT,"CHI and MOT playing with cash register, MOT asks CHI how much a coffee is, CHI responds",symbolic,,output,yes
111,HSLLD/HV2/TP/emitp2.xml,51,[4.804878048780488], zero two five six six two one ,"CHI, MOT, INV1",female,"at  home, playing with toys","MOT and CHI playing with a toy telephone, MOT tells CHI to dial their phone number",symbolic,,output,yes
112,Brown/Adam/adam47.xml,52,[5.945668135095448], it says six five four two zero seven ,"CHI, MOT, URS, PAU, DIA",male,CHI and investigator playing with a rubber stamp with numbers,"CHI asks what numbers on a stamp say, investigator answers",symbolic,,input,yes
113,Brown/Adam/adam47.xml,52,[5.945668135095448], seven five four two zero seven ,"CHI, MOT, URS, PAU, DIA",male,CHI and investigator playing with a rubber stamp with numbers,"CHI asks what numbers on a stamp say, investigator answers",symbolic,,input,yes
114,Brown/Sarah/sarah104.xml,52,[4.288135593220339], is it an zero ,"CHI, MOT, FAT, GAI, MEL, ",female,CHI is drawing and talking with investigator (MEL),"CHI is writing letters and numbers, and the investigator asks CHI whether a letter/number is a zero. CHI answers in the affirmative. ",symbolic,,input,yes
115,MacWhinney/76b1.xml,52,[8.909090909090908], zero ,"CHI, MAR, FAT, MOT",male,FAT and MAR are talking about how old a cat is,"FAT asks MAR how  old the cat is, MAR responds that cat is 'zero', FAT repeats",,,input,yes
116,Brown/Adam/adam47.xml,52,[5.945668135095448], six zero five a b ,"CHI, MOT, URS, PAU, DIA",male,CHI and investigator playing with a rubber stamp with numbers,"CHI asks what numbers a stamp say, and answers his own question",symbolic,,output,yes
117,MacWhinney/76b1.xml,52,[8.909090909090908], zero ,"CHI, MAR, FAT, MOT",male,FAT and MAR are talking about how old a cat is,"FAT asks MAR how  old the cat is, MAR responds that cat is 'zero''",,,output,
118,HSLLD/HV2/TP/nictp2.xml,53,[3.3838862559241707], that s a one and a zero ,"CHI, MOT, INV",female,"at home, playing with toys","MOT and CHI try on hats with numbers, MOT asks what number child is, CHI initially says 'six', but MOT points out it's a 10",symbolic,,input,yes
119,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars ,"CHI, MOT, LES (investigator(",male,Free play,"MOT and CHI playing with plastic farm animals, MOT asks if food is free, and child says food is 'zero dollars.' MOT repeats this to confirm.",nonexistence,,input,yes
120,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars each ringing them up ,"CHI, MOT, LES (investigator(",male,Free play,MOT discussing ringing up 'zero dollars' food on a toy cash register,nonexistence,,input,yes
121,Weist/Matt/mat46.xml,53,[5.946666666666666], but each one only costs like zero cents right ,"CHI, MOT, LES (investigator(",male,Free play,MOT discussing ringing up 'zero dollars' food on a toy cash register,nonexistence,,input,yes
